2023-04-14 23:27:06 install perl-base:amd64 <none> 5.36.0-7
2023-04-14 23:27:06 status half-installed perl-base:amd64 5.36.0-7
2023-04-14 23:27:06 status unpacked perl-base:amd64 5.36.0-7
2023-04-14 23:27:06 configure perl-base:amd64 5.36.0-7 5.36.0-7
2023-04-14 23:27:06 status half-configured perl-base:amd64 5.36.0-7
2023-04-14 23:27:06 status installed perl-base:amd64 5.36.0-7
2023-04-14 23:27:06 startup archives install
2023-04-14 23:27:06 install mawk:amd64 <none> 1.3.4.20200120-3.1
2023-04-14 23:27:06 status half-installed mawk:amd64 1.3.4.20200120-3.1
2023-04-14 23:27:06 status unpacked mawk:amd64 1.3.4.20200120-3.1
2023-04-14 23:27:06 configure mawk:amd64 1.3.4.20200120-3.1 1.3.4.20200120-3.1
2023-04-14 23:27:06 status half-configured mawk:amd64 1.3.4.20200120-3.1
2023-04-14 23:27:06 status installed mawk:amd64 1.3.4.20200120-3.1
2023-04-14 23:27:06 startup archives unpack
2023-04-14 23:27:06 upgrade base-files:amd64 12.3ubuntu2 12.3ubuntu2
2023-04-14 23:27:06 status half-configured base-files:amd64 12.3ubuntu2
2023-04-14 23:27:06 status unpacked base-files:amd64 12.3ubuntu2
2023-04-14 23:27:06 status half-installed base-files:amd64 12.3ubuntu2
2023-04-14 23:27:06 status unpacked base-files:amd64 12.3ubuntu2
2023-04-14 23:27:06 upgrade base-passwd:amd64 3.6.1 3.6.1
2023-04-14 23:27:06 status half-configured base-passwd:amd64 3.6.1
2023-04-14 23:27:06 status unpacked base-passwd:amd64 3.6.1
2023-04-14 23:27:06 status half-installed base-passwd:amd64 3.6.1
2023-04-14 23:27:06 status unpacked base-passwd:amd64 3.6.1
2023-04-14 23:27:06 install bash:amd64 <none> 5.2.15-2ubuntu1
2023-04-14 23:27:06 status half-installed bash:amd64 5.2.15-2ubuntu1
2023-04-14 23:27:06 status unpacked bash:amd64 5.2.15-2ubuntu1
2023-04-14 23:27:06 install bsdutils:amd64 <none> 1:2.38.1-4ubuntu1
2023-04-14 23:27:06 status half-installed bsdutils:amd64 1:2.38.1-4ubuntu1
2023-04-14 23:27:06 status unpacked bsdutils:amd64 1:2.38.1-4ubuntu1
2023-04-14 23:27:06 install coreutils:amd64 <none> 9.1-1ubuntu2
2023-04-14 23:27:06 status half-installed coreutils:amd64 9.1-1ubuntu2
2023-04-14 23:27:06 status unpacked coreutils:amd64 9.1-1ubuntu2
2023-04-14 23:27:06 install dash:amd64 <none> 0.5.12-2ubuntu1
2023-04-14 23:27:06 status half-installed dash:amd64 0.5.12-2ubuntu1
